mattered,2
intimately,3
reunion,2
muslin,,1
wounded?”,2
paymaster’s,1
blandly,5
wobbers,1
town?”,1
likhachëv—isn’t,1
lost...,1
fought?,1
signal.,1
mítrich,,3
hem,3
“piti-piti-piti,1
out?”,2
been,1460
they,,10
fuller,1
entirety,,1
frenchmen,,12
muskets.,1
ukrainian,2
pig,2
crying,12
breath,10
liebchen,1
‘please,1
contemptible,6
staff?”,1
accomplished,15
husky,2
krásnaya,2
afterward,1
eventuality,1
end,”,1
peoples,,4
tears,”,1
distance—and,1
performed,,3
angels,,1
pacifying,2
stern,44
luminous,9
logic,,2
tea,,14
snuffing,1
espoused,1
coffin—the,1
speak:,1
centuries,,1
audibly,2
people!,3
balk,3
erected,4
understand?”,4
“attention!”,1
am.,4
4x,1
flushing,,3
land...”,1
thee,,6
dangers,2
funnel.,1
kuzmích’?”,1
provinces;,1
historians,96
descending,8
scolding!,1
know...”,3
seventy,5
heroic,14
initiation,1
other!”,1
heart’s,2
converted,1
buffoon,”,1
goods.,1
erroneous,3
repairs.,1
arch,,1
stage—who,1
thursday—sold,1
astray,2
vight,1
expectation,,3
bourbons.,2
endeavor!”,1
horses.,26
late...,1
“stop,,2
“possibly,”,1
spilt,,1
rolled,22
didst,2
viewed,1
museum,1
unforeseen,1
superfluity,1
instructive,3
family,,32
whit,1
interrogatively,,1
dog?”,1
count;,3
looting,,4
rafts,1
meadows.,1
lapsing,1
beekeeper,6
platoche,1
mop,3
win,15
outlaw,1
cart,,10
animating,1
otrádnoe.,3
comparing,2
stupid;,1
elder,,9
(we,1
brother...,1
point,64
strut,1
fo’ward!”,1
“bridge”,1
consent,,4
bivouacking,4
pale.,5
sophia,2
visible,,4
feeling,,15
theoreticians,2
him,,716
hoarfrost,3
amphitheater,,2
assumption—and,1
decoration,,2
slap,1
iványch!”,2
castle.,4
drink!”,4
table,116
shake,,1
fail,10
right,254
trumpets,1
“kurágin!,1
andrew!,2
tíkhon,”,2
affectation.,2
use?,1
friendship!”,1
unchanging,5
‘dear,1
back?,1
blundering.,1
german.,6
yellowing,1
uninjured,3
demanded.,5
fixed.,2
components,,2
live?”,1
nurses,3
jesuit,2
quarters.”,1
single.,1
conducing,1
vice-king’s),,1
inherited,2
impute,1
go,551
pétersbourg,,1
servants,,7
handful,4
advance.,12
agitated;,1
valuables.”,1
i?...,1
told...”,1
obstinacy!”,1
justice!,1
shouldn’t,14
happy.,13
second,104
canteen,5
votre,2
table—very,1
amazement,4
bezúkhova,,4
consequently,,1
thronging,2
astonished,15
room”—as,1
explain”...,1
miserable,4
boots!,1
stud.,1
brow,8
audacity.,1
prisoner’s,2
manners,,1
swords,,2
draughts,1
tired,,2
outweigh,1
poking,2
convient,1
minute’s,1
assemble,2
approximate,,1
so.,56
exasperated,4
beheaded,1
accept,24
subtleties,1
beatified),1
rook—a,1
perpetrated,2
barbarity,2
(cries,1
i—and,1
4,2
loneliness,3
inviting,14
anybody.,2
feelings;,1
came,662
hour,50
apply,8
savory,4
taken?,1
stationary,2
men!”,1
twentieth,3
rubbish,”,1
poor!”,1
heaven!,2
thickly,5
collided,,1
dukes,,1
sores,,1
dólokhov!”,1
obedience,,2
humiliations,,1
organism,2
firm.,1
lair,1
sleigh,,4
broadsheets.,3
this?”,18
entrance,,5
bonfires,,1
politeness:,1
ambassador.”,1
senator’s,1
interfere,6
questions,”,1
unpleasantness.,1
vow,3
nowadays,6
procured.,1
exhausting,1
discuss,13
killed.”,1
discernible,1
excitement,,8
detachments,,3
people,”,9
“courage,,1
calmly,16
vehemence.,1
duel.,3
barking,1
enfeebled.,1
“never,5
hen,”,1
diplomat,2
deceased,5
trial,6
abstract,9
valve,1
passed:,1
arakchéev’s,5
doing;,2
seat,”,1
recently,,4
murder;,1
tact,7
region,,1
delusion,”,1
blown,7
office,8
seem,,5
circlet,1
tossed,5
fahrenheit,1
naïvely,7
hope—experienced,1
pierre;,2
moscow.,98
wrong.”,1
gratify,2
squires,1
faceted,2
vengeance,,2
i,’,1
involuntarily,69
service.”,3
officer—without,1
dew.,1
minister;,2
list.,2
far,”,4
swede,1
degwaded?...,1
territory,,3
ill-humored,1
poland,8
“here,,7
very,,7
homme!”,1
salzeneck.,1
“two,5
encampment,1
escort,,5
karágina,,2
namely,,6
entering,,1
girlhood,,1
quilt—the,1
scriptures,,2
kochubéy,7
portionless,1
parisian!,1
vladímir,3
faces,,33
whirring,1
out,1048
offending,3
dappled,1
shall,,1
lot?,1
rations,3
surlier,1
peace.,19
skeptics,1
fetching,4
strangle,1
“has,16
pour,11
unbuttoned,8
confident,,2
enemy,146
expressing...,1
depicted,5
lawlessness,1
owners,,1
armfeldts,,1
francs’,1
silk-lined,1
relieve,3
say?,5
remark,,5
thicket.,1
friant,1
floor,25
ii,34
forestalling,1
shámshevo,4
talent,,4
droned,1
column.,3
v,35
punished,,3
mantles,,1
befouled,2
liberated,5
dagger,4
play!”,1
shepherdesses,1
“eh?,6
throng,7
her—knew,1
orders?,3
wonderful!”,1
birds,5
earth,32
placing,9
knyazkóvo,2
privation,3
bark,2
differing,2
capacities,,1
troubles.,2
there?”,12
zhárov,1
highness’,2
equipment,,3
pretending:,1
examining.,1
joylessly,1
dutch,1
“brothers!,2
bigger,4
lover-like.,1
biscuits,5
things?,1
duport!”,1
boon,1
previously,,5
on.”,4
proposed.,1
flaccid,,1
rate,,3
snapping,2
expect.”,1
rule.,3
youngest:,1
position!,1
in?,4
“i?...,1
crazy.”,2
tranquility,2
countryside—“see,,1
n—,2
(somewhat,1
early!,1
cooper,3
robber,2
lips—came,1
elocution,,1
faces.,11
daresay?,1
deceivers!”,1
grandson,2
hinted,6
mary...”,1
capable,17
evening:,1
“hm...”,1
bay.,1
jerkily,1
stationary,,1
brózin,,1
employment,,1
monarch,6
tail.,2
suitors.”,1
refuge,5
tiresome!”,1
horses—we,1
knights!”,1
mustache,,11
véra...,1
princes,5
nationality,1
rich?”,2
call.,5
“merci,,2
needed.”,1
cossacks,,12
youngster,1
experienced,78
knees,...,1
ordering,4
huddled,5
excellency.,5
physically.,2
half-closed,,2
“hang,1
verses,14
useless,,3
voices;,1
brigands!...”,1
perspective,,1
constant,18
jaded,1
almost,,1
stingy,1
arose.,3
thing!”,4
pelagéya,13
raw,,1
elizabeth,1
otherwise!”,1
l’honneur,1
chord,3
alternate,3
hare’s,3
barclay,,9
rivers.”,2
shatters,1
happy,144
spurs;,1
sooner.,2
pipe.,1
“oh-h-h!,1
what.,2
shock,8
agencies;,1
fancier,,1
lavrúshka,20
sees,19
german,56
hospital,,4
german?”,1
“mathematics,1
“landlord’s,1
done,224
prishprish,,1
nonchalance,1
sterlets?”,1
recover,10
unofficial,1
trash—can,1
kutúzov’s;,1
merrier,2
dmítrich,5
delivery,1
natásha’s,113
cweation...,1
sufferings,,7
signboards,,1
worse,29
dignity,,7
want,211
sunset,,1
everything—the,1
moments!,1
know?...,1
valor,2
rostóva!”,1
exceptional,8
nervous,,3
bedouin,2
honestly.,1
resting,,2
naturalists,2
girl,84
inner,,3
(karáy,2
“better,4
heeding,7
importance,31
mother.”,4
kíkin’s,1
trotter,3
“europe,1
simon.,1
mílka,7
deduce,1
unconsciously,,1
communication.,2
discretion,,1
self-assurance,,1
knot.,3
impolitely,1
fain,1
self-perfecting,,1
sand,,1
ends.,2
people—that,1
gabriel,4
uhlan,2
youths,,2
unwillingly,1
pitchfork,1
roan,1
rescript:,1
hurrah,5
hypothesis,1
frankly,”,1
spoils,1
affectionately,3
graciously.,3
bridges,9
weren’t,6
november,,7
material,”,1
tomorrow—or,1
plethoric,1
treetops,1
headquarters.’,1
turned,381
too....,2
(nicholas),,1
light)—were,1
sat.,3
mournful,,2
kostromá,,1
surely,9
ejaculated,,1
corpse,4
“drubetskóy,1
dunyásha;,1
books.,1
punch.,1
moscow—filled,1
merrily,,1
resorted,1
“count!,5
off—and,1
dear—i’ll,1
mummers.,2
ecstatic,12
ever-changing,,1
symmetrical,1
overlay,1
hum,12
diversions,1
“fool,,1
marriage—khvóstikov,,1
separation,,2
horror:,1
burned!”,1
monseigneur,,3
assailed,2
particle,2
(indicating,1
right!”,13
bagratión—being,1
advantageous,13
“women’s,1
shinshín’s,3
continuing.,1
mason.,4
aimed,,1
thirdly,2
theaters,3
woman.,22
impossible—your,1
greater.,2
constructed,10
kind,,32
real.,1
foremen,1
miracles,1
book,”,1
gingerbread,1
despair,,11
natalie,,1
dispositions,19
origin,1
dishes.,1
bated,2
glass,44
casement.,3
vest,,1
philosophize,,1
sventsyáni,,1
“routed”,1
pulled,32
coward!”,2
intimidate,1
baby.,6
preur!—if,1
was—expressed,1
witticisms,1
pulleys,2
hospitality,2
piteously,,1
dwelling,3
soiled,1
advantages,14
delicious...”,1
turned-up,3
yours?”,3
(5),1
reconnoiter,1
fourteen:,2
me-r-r-y,1
fable,2
strengthen,,1
in....”,1
impossible—in,1
proclamation.”,1
nowadays,,2
ourselves,,7
untiring,,1
succumbing,1
adjutant’s?,1
grecque,1
threescore,1
‘am,1
weakened,,1
beside,183
excellent!”,2
pouting,2
vodka),1
floppy,1
quarreled?,1
belying,1
sent,,3
town,67
improve.,2
announces,1
examinations?”,1
engagement),1
did,”,2
ask...”,1
brood!”,1
“about...”,1
pack!,1
l’empereur,3
whom,”,1
kirílovich,,2
orators,,1
chichagóv,2
alphonse,1
indefinitely,1
summits...,1
don’t,,4
shows,14
reflected.,3
new.,4
reflections,10
russian—but,1
hilltop,,1
snuggery,1
tools.”,1
understand...,3
indifferent.,2
deviating.”,1
“here.,1
frown,8
intense,3
magnitude,2
body,66
via,1
quartermaster’s,1
crossing!”,1
operate,1
threatened,12
bribe,1
slave!,2
victories,6
d’ordre.”,1
twisted,5
drissa,14
plans?”,2
ward,4
braunau,8
flared,10
temptations,,1
smiled.,26
1807,5
thanking,1
bast,11
compression,1
wife—the,1
quilts,,1
long-foreseen,1
13,,1
incidentally,1
visits,,2
head’s,2
wax,,4
verses,,2
compassionate,2
brotherhood,,3
satisfactory.,1
governed,5
hail,1
avenue!”,1
cap.,14
military),1
grandeur,6
supper!,1
like),,1
ivánich,1
gravely.,1
officer.,40
prejudices,,1
thus:,1
owners,7
stuff,1
“nice!,1
loading.,1
tugged,,1
yúri,1
don’t!”,2
bórovsk,1
levying,1
see.”,9
conscripts,1
fathers’,1
damages,,1
boat,,1
service—could,1
depuis,1
wounded,,32
well-groomed,,1
everything....”,1
tradition,3
drive,47
pole,8
billet,1
kvass,1
foggy,3
circle,34
distressed,6
friend’s.,1
jesus,6
1807!”,1
sir!”,4
sunburned,,3
imbibed,1
krémlin,,10
hoped,,1
foam-flecked,1
what!”,1
dish.,1
limited,13
expounded,,1
attracted,21
day,,83
detachments,10
pole.,2
temples,,5
disclosed,5
onlookers,,1
bloodshot,,1
vogue.,2
fine,,14
rain.,1
ruder.,1
vague,17
globe—to,1
there,1092
selecting,1
of—that,1
serried,2
resolved,,2
overcame,4
home!...,1
twenty-four,,1
overstrained,1
worrying,”,1
affectation,8
vexation.,5
incendiarism.,2
tree,,6
forward.),1
“undress,1
annoyed.,1
tolerate,1
fatty.,1
regime.”,1
minister?,2
schmidt!”,1
floor.,13
angrier,1
discusses,1
stone-built,1
march’,1
poorhouse,1
theresa,,1
mallets,,1
lowest-grade,1
suspects:,1
tiny,,1
pallid,1
re-entering,2
ducked.,1
“mamma,”,2
andrúsha,”,1
violently,,1
“how...,1
empty,”,2
“mamma’s”,1
guards!”,1
imagination.,5
postmaster,5
sanguine,2
tarútino),2
man.,69
weather,15
supposes,1
stormcloud,2
coffee,,1
added:,19
yourself.”,7
sunday.,2
berg’s,7
independence.,1
warning,2
syllable,2
coursing.,1
perspiration.,2
slept,20
africa,,2
worn,,2
adept,2
other,500
meetings,,3
things!,2
detected,4
saddles,4
sing.”,1
collapsing,,1
sphinx,3
officer,,81
effort.,7
noisy,,1
happened—the,1
barbarian,1
wine.”,1
plait,3
